id,type,frame,magnitude,map,path
diableavionics_calm,ship,,2,normal,graphics/da/maps/ships/diableavionics_calm.png
diableavionics_chinook,ship,,2,normal,graphics/da/maps/ships/diableavionics_chinook.png
diableavionics_cirrus,ship,,2,normal,graphics/da/maps/ships/diableavionics_cirrus.png
diableavionics_daze,ship,,2,normal,graphics/da/maps/ships/diableavionics_daze.png
diableavionics_derecho,ship,,2,normal,graphics/da/maps/ships/diableavionics_derecho.png
diableavionics_draft,ship,,2,normal,graphics/da/maps/ships/diableavionics_draft.png
diableavionics_drafarmormodule,ship,,2,normal,graphics/da/maps/ships/diableavionics_draftarmor.png
diableavionics_fractus,ship,,2,normal,graphics/da/maps/ships/diableavionics_fractus.png
diableavionics_gust,ship,,2,normal,graphics/da/maps/ships/diableavionics_gust.png
diableavionics_hayle,ship,,2,normal,graphics/da/maps/ships/diableavionics_hayle.png
diableavionics_haze,ship,,2,normal,graphics/da/maps/ships/diableavionics_haze.png
diableavionics_laminar,ship,,2,normal,graphics/da/maps/ships/diableavionics_laminar.png
diableavionics_maelstrom,ship,,2,normal,graphics/da/maps/ships/diableavionics_maelstrom.png
diableavionics_minigust,ship,,2,normal,graphics/da/maps/ships/diableavionics_minigust.png
diableavionics_pandemonium,ship,,2,normal,graphics/da/maps/ships/diableavionics_pandemonium.png
diableavionics_rime,ship,,2,normal,graphics/da/maps/ships/diableavionics_rime.png
diableavionics_rime_m,ship,,2,normal,graphics/da/maps/ships/diableavionics_rime_military.png
diableavionics_rime_p,ship,,2,normal,graphics/da/maps/ships/diableavionics_rime_p.png
diableavionics_shear,ship,,2,normal,graphics/da/maps/ships/diableavionics_shear.png
diableavionics_sleet,ship,,2,normal,graphics/da/maps/ships/diableavionics_sleet.png
diableavionics_storm,ship,,2,normal,graphics/da/maps/ships/diableavionics_storm.png
diableavionics_stratus,ship,,2,normal,graphics/da/maps/ships/diableavionics_stratus.png
diableavionics_stratus_p,ship,,2,normal,graphics/da/maps/ships/diableavionics_stratus_p.png
diableavionics_vapor,ship,,2,normal,graphics/da/maps/ships/diableavionics_vapor.png
diableavionics_IBBgulf,ship,,2,normal,graphics/da/maps/ships/diableavionics_IBBgulf.png
diableavionics_versant,ship,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_body.png
,,,,,
diableavionics_station_tier1,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_core.png
diableavionics_station_tier2,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_core.png
diableavionics_station_tier3,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_core.png
,,,,,
diableavionics_module_lightAttack,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_lightAttack.png
diableavionics_module_attack,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_attack.png
diableavionics_module_defense,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_defense.png
diableavionics_module_fighter,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_fighter.png
diableavionics_module_missile,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_missile.png
diableavionics_module_ecm,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_ecm.png
diableavionics_module_wanzer,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_wanzer.png
diableavionics_module_tip,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_bastion.png


diableavionics_station_lock1,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_core.png
diableavionics_station_lock2,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_core.png
diableavionics_station_lock3,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_core.png
,,,,,
diableavionics_module_lightAttack_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_lightAttack.png
diableavionics_module_attack_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_attack.png
