id,type,text1,text2,text3,notes
,,,,,
# Ships,,,,,
,,,,,
,,,,,
MSS_Brawlerhead,SHIP,"An experiment done by mad geniuses, it combines the the Brawler's hull with a Hammerhead's head. With a shield wall system and active flares, its used as a defensive variant of the Hammerhead.",,,
MSS_Nailer,SHIP,"Heavy, compact, deadly. These three words describe Mayasura's flagship frigate. While being decently armed, the extra armor makes it a struggle for the Nailer to react fast to its more lightweight contemporaries. However, not all is lost when the Nailer becomes surrounded; many Nailers have snatched victory from the jaws of defeat with their famed durability and outstanding mobility with their supply of infernium on board. With higher crew requirements than normal sized frigates, extra care is needed to keep such an expensive craft maintained.",,,
MSS_Kontos,SHIP,"Rumoured to be one of the rare Mayasurian ships, the UAC for this ship has been kept a Hegemony secret after their raid on Mayasura. The Kontos is a well armed combat carrier with a suite of PD drones and two fighter bays. A highly powerful and expensive ship for its size, compared to contemporaries like the Condor and Drover.",,,
MSS_Mokarran,SHIP,"A famed Mayasurian battlecruiser, the Mokarran's design was inspired by the successful Hammerhead-class destroyer. Often the spearpoint of Mayasurian fleets, the battlecruiser shines in an aggressive attack role, thanks to its front-focused firepower and solid profile. However, it falls short in broadside and rearward weaponry and as such is succeptible to being surrounded - even if its weight belies its nimbleness. To compensate, a Mokarran rarely flies without a heavy escort. The amidships fighter bays are also most often equipped with heavy attack craft capable of warding off potential flankers. These qualities have earned the Mokarran its place as a symbol of power and fortitude, a reputation well-earned by its history in the field against the might of the Hegemony.",,,
MSS_Mokarran_HVB,SHIP,"This is a famous modification of the Mokarran, eschewing its fighter bays for more missile firepower with enlarged hardpoints in front of the ship. It was made as a signature ship for one of the simulated combat tournaments and custom-made for its winner after long and laborious modification process. Its maiden voyage was a disaster, with ship being lost in void of space for years... until it was found, restored to its former glory. Now it's ready to fight and won't back down, no matter the odds.

A famed Mayasurian battlecruiser, the Mokarran's design was inspired by the successful Hammerhead-class destroyer. Often the spearpoint of Mayasurian fleets, the battlecruiser shines in an aggressive attack role, thanks to its front-focused firepower and solid profile. However, it falls short in broadside and rearward weaponry and as such is succeptible to being surrounded - even if its weight belies its nimbleness. To compensate, a Mokarran rarely flies without a heavy escort. The amidships fighter bays are also most often equipped with heavy attack craft capable of warding off potential flankers. These qualities have earned the Mokarran its place as a symbol of power and fortitude, a reputation well-earned by its history in the field against the might of the Hegemony.",,,
MSS_Crow,SHIP,"The Crow is an elite fighter outfitted with an experimental small scale damper field. A product of Mayasuran design, the Crow has more than enough armor to beat through piddly point defense weapon arrays. A perfect escort to bombers, a pair of crows can become an amazingly efficient bomber leader and soak up all the damage with the durability to match!",,,
