name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Modular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy UV Pulse Laser,MSS_LargeLaserCannon,2,,4500,700,,150,,8,10,25,,,,ENERGY,165,,,0.18,,,5,10,2,10,,800,,,30,,"energy10, mayasura_wp_bp",,Mayasuran,,General,,,,,,,,,,5205
Ultraviolet Pulse Laser,MSS_LaserCannon,2,,2250,800,,200,,8,15,14,20,0.85,2,ENERGY,240,,0,1.1,2,0.25,3,6,2,10,,800,,,30,,"energy10, mayasura_wp_bp",,Mayasuran,,General,,,,,,,,,,5205
Heavy Ion Lance,MSS_ionlance,3,0.5,7500,1000,450,,2000,0,7,22,,,,KINETIC,,1600,0.1,2.5,1,5,,,,,9999,,,,,FIRE_WHEN_INEFFICIENT,"beam14, LR, rare_bp, mayasura_wp_bp",,Mayasuran,,,,,,,,,,,,
Triple Beam Cannon,MSS_tribeam,3,,7500,900,1286,,,0,10,28,,,,ENERGY,,2533.33334,0,0.33334,0.2,,,,,,9999,,,,,"STRIKE, USE_VS_FRIGATES","energy18, beam20, rare_bp, mayasura_wp_bp",,Mayasuran,,Anti Armor,,,,,,,,,,24
Iruiru PGL,MSS_thumper,3,,1000,700,,200,50,20,10,12,4,0.3,1,HIGH_EXPLOSIVE,480,,0,1.24,1,0.6,0,20,5,2,,180,180,6.5,500,,"he18, rare_bp, mayasura_wp_bp",,Mayasuran,,Area Denial,Fast,None,,,"%s: Grenades stick to targets and explodes after a short duration, dealing %s high explosive damage.

%s: Grenades explode on near-misses, dealing %s high explosive damage.",Magnetized Plasma | 400 | Advanced Proximity Fuse | 200,,,,8
stuck PGL,MSS_thumper_sub,,,1000,700,,400,,20,10,12,4,0.3,1,HIGH_EXPLOSIVE,480,,0,1.24,1,0.6,0,20,5,2,,180,180,6.5,500,SYSTEM,he18,,Mayasuran,,Area Denial,Fast,None,,,,,,,,7
