id,type,text1,text2,text3,notes
missp_atlasmkiii,SHIP,"This conversion of the Atlas is fit with a number of converted cargo holds from Colossus-class freighters stapled onto the main superstructure. Numerous pillaged forge-vats are mounted in these converted hangars and outfit with as many LPCs as possible, enabling the ship to act as a makeshift fleet carrier. To round out its deadly arsenal, the hull is dotted with a number of weapon mounts designed to protect the carrier after it has disgorged its swarm of strike craft.

While the Persean Sector’s opportunistic underworld can be accused of many things, suicidal is the one they most often reject. Limited access to proper designs and functioning shipbuilding force these Pirate elements to scrounge and salvage for anything that gives them some chance at success. Conversions of popular freighters into makeshift warships often does the job well enough for relatively low cost, but the success of such designs is more often measured in surviving crewmembers than in tonnage of plunder acquired.

The Atlas is a favorite target of Pirate Warlords not only for the potential for good loot, but also for conversion into the Mk. II Combat Galleon. However, a number of less-than-brave captains realized that the risks in utilizing a ship that essentially amounted to a magazine detonation wrapped in aluminum foil did not lend itself to particularly long nor successful careers. The versatility and safety presented by strike craft, however, offered the perfect solution to their woes, and thus they returned to their hidden shipyards to build a newer, deadlier form of warship between bouts of debauchery and inebriation.

Necessity, the ancients said, is the mother of invention. The Atlas Mk. III is a clear demonstration of this principle put into semi-functional practice, and the surprising capabilities of this haphazard conversion has made it the mortal enemy of all legitimate shipping in the Sector.
",,,
missp_albatross,SHIP,"Designed as a dedicated Fleet Carrier, the Albatross-class offers superior performance across the board to many of the warships currently operating in the Persean Sector. Mounting an impressive array of weapons while maintaining a massive fighter wing provides this ship with substantial force projection in the theater of operations.

The Albatross is the ‘Cruiser School’ response to the criticisms levied against the aging Legion-class battlecarriers. The sacrifice of heavy weapon mounts does hinder the ability of the carrier to effectively remain on the line of battle, but this is more than made up for the Carrier’s superior speed and cavernous hangar bay. When paired with faster warships to pin hostile vessels in place, the flood of strike craft launched by the Albatross can easily overwhelm even the thickest of point defense screens.

Building upon the lessons learned by the Drover-class light carriers, Orion Shipyards submitted this design as an alternative to the more specialized Astral-class of Tri-Tachyon in the competition to fulfill the ‘New Fleet Prerogatives' posed by the Domain Armada. Ultimately, this design was preferred by the ‘Big Gun’ school of admirals, who were unwilling to accept the loss of direct combat potential represented by the Astral’s design. The introduction of the Albatross to the Domain’s fleets was in its opening stages when the Collapse shuttered the Gate Network, stranding a number of these vessels in Persean Sector. Their service continues in the hands of the Domain’s numerous successor states, where they have met substantial success as both line combatants and as fleet command ships.

While the Albatross has not achieved the same fame that some other carriers in the sector possess, the class is still well-loved for its versatility and substantial firepower. The design is particularly well-suited to Sector patrol duty, as few Pirates can stand before a design that can simultaneously out-range, out-pace, and out-shoot many of their own vessels.
",,,
missp_staple,SHIP,"Favored for the sheer tactical flexibility offered by its superior weapon arcs, protection, and speed, the Staple can excel in any role it is assigned to, provided that escort craft are in place to cover for the few deficiencies in the design. The centerline-mounted heavy weapons allow the ships to serve not only as a premier broadsiding warship, but also as a secondary linebreaker. It is not an uncommon sight to see Staples charging headlong into enemy warfleets alongside the Onslaughts they were meant to replace.

As strategic doctrines in the Domain Armada shifted away from large capital ships toward more versatile cruisers in the years preceding the Collapse, Naval Strategists were confronted with the serious issue of obsolescence in their heavier warships. While the venerable Onslaught-class could still serve as a line-breaker and nigh-invincible juggernaut in direct engagements, the design limitations of its hull had become evident in the face of faster and technologically superior ships. Even the most staunch radicals among the ‘Cruiser School’ Admirals recognized the need for dedicated capital ships in their fleet compositions, however, and thus put out the call for designs to fulfill their demands, codified in the ‘New Fleet Prerogatives’.

The Staple-class was Altair Exotech’s entry for the category of dedicated warship, where it straddled the line between the speed of Orion Shipyard’s Conquest and the armor and weaponry of Tri-Tachyon’s Paragon. A well-rounded, adaptable, and cost-effective design, the Staple won the favor of both the ‘Big Gun’ and ‘Cruiser School’ Admirals, ultimately being selected to replace the aging Onslaught. Introduction of the Staple was well underway by the time of the Collapse, and the design remains a somewhat common sight in the Persean Sector’s larger navies where it continues to serve with distinction.",,,
missp_expedition,SHIP,"The Expedition is among the largest civilian craft currently in use in the Sector. A post-collapse design that prioritizes survivability and function over comfort and form, this mammoth of a starship often serves as the centerpiece to every kind of civilian concern, from colony fleets to larger salvage companies and everything in-between. The combination of numerous weapon mounts, integrated command and control systems, and heavy armor plating all give this ship the ability to hold its own against many opponents when necessary. In truth, it is more akin to a mobile starbase than it is to any starship, and is most often found at the very fringes of the Sector.

Domain-era colonization policies dictated that colony fleets would be escorted by substantial naval assets, both autonomous and manned, to ensure the security of such undertakings. Given the availability of such protection in the Pre-Collapse era, the colony ships of those days consisted of little more than cryo-trays, engines, and life support. The shuttering of the Gate Network, however, made such designs impractical to use and impossible to reproduce. Hegemonic Authorities recognized that if Humanity was to survive in the isolated Persean Sector, it would have to expand. Given the growing lack of escort ship availability during the AI Wars and numerous intervening incidents, it was determined that a new ship be produced primarily to move as many people as possible with the greatest protection available in a single design. The Expedition is a result of their endeavors.

Another design born more out of necessity than to fulfill any sort of doctrinal niche, this City-with-Engines is durable, built to last, and equipped with all manner of services from hospitals to training centers to micro-forges that enable thousands to call these ships home. Curiously, the use of these ships has resulted in a sort of tradition emerging among Hegemony Officers. Captains who pass the graves of such vessels will always stop and leave behind a personal memento in or as near to the wreck as possible. Whether to mourn the loss of life, to lament the dimming future of Humanity, or to rededicate themselves to guarding the remains of civilization, the sight of a destroyed Expedition can bring even the most cynical of Commanders to a reflective pause.",,,
missp_buffalomkiii,SHIP,"A major conversion of the standard Buffalo-class freighter hull, the Mk III sacrifices almost all of its cargo capacity in exchange for mounting twin Fighter Bays, equipped with military-grade Nanoforges and the support facilities necessary to maintain constant fighter patrol. This revision is a desperate attempt by civilian authorities to provide trade convoys with some level of protection against increasing pirate activity. While the effectiveness of such a haphazard escort carrier has yet to be substantially proven in direct combat, no freighter captain would pass up the opportunity to fly under fighter escort. ",,,
missp_nyx,SHIP,"The Nyx is a general destroyer-class design, meant primarily to act as the stone wall between a vulnerable convoy and the mass of pirates and other desperate elements in the Persean Sector that wish to prey on them. Very heavily armored for its weight, the design offers substantial broadside firepower and decent maneuverability in a fairly compact package, making it a cheap and versatile convoy escort craft. Some of the more desperate navies in the Sector have taken to adopting the Nyx as their primary light line warship. The true strength of the design is in its cheap cost and ease of construction – the most successful of Nyx flotilla tactics involve overwhelming enemy forces with sheer weight of numbers.
",,,
missp_flak_craft,SHIP,"One of the largest designs that a Fighter Nanoforge can accommodate, the family of Patrol Craft LPCs serve numerous specialized roles in various fleet doctrines. Corvette-sized but still retaining the speed and maneuverability of smaller bombers, these craft are often utilized in to great effect in both pitched battle and in convoy escort duty.

The Flak Craft is a dedicated fleet escort corvette, and is primarily deployed ahead of charging formations to intercept incoming missile ordinance and dissuade incursions by enemy fighters. Built around a center-mounted Flak Cannon, this craft is adept at keeping the surrounding space clear of enemy contacts.",,,
missp_gun_craft,SHIP,"One of the largest designs that a Fighter Nanoforge can accommodate, the family of Patrol Craft LPCs serve numerous specialized roles in various fleet doctrines. Corvette-sized but still retaining the speed and maneuverability of smaller bombers, these craft are often utilized in to great effect in both pitched battle and in convoy escort duty.

The Gun Craft serves primarily as a frigate-hunter. Armed with a Heavy Machine Gun, it is able to pin smaller line vessels in place and put pressure on shields while heavier craft move in for the killing blow. Additionally, this corvette is purpose-built to kill counterpart craft, mainly to eliminate the threats posed by its Flak and Torpedo variants.
",,,
missp_torpedo_craft,SHIP,"One of the largest designs that a Fighter Nanoforge can accommodate, the family of Patrol Craft LPCs serve numerous specialized roles in various fleet doctrines. Corvette-sized but still retaining the speed and maneuverability of smaller bombers, these craft are often utilized in to great effect in both pitched battle and in convoy escort duty.

The Torpedo Craft servers as an oversized bomber and is designed primarily to attack larger craft already made vulnerable by other means. Built around twin single-use Harpoon MRM tubes, this craft can deliver a devastating payload to even the most heavily armored vessels. Wise starship captains should prioritize eliminating these craft before all other fighters. ",,,
missp_patrol_craft,SHIP,"One of the largest designs that a Fighter Nanoforge can accommodate, the family of Patrol Craft LPCs serve numerous specialized roles in various fleet doctrines. Corvette-sized but still retaining the speed and maneuverability of smaller bombers, these craft are often utilized in to great effect in both pitched battle and in convoy escort duty.

The standard Patrol Craft can be seen as the baseline for corvettes in the Sector. Armed only with light-mount weaponry, this corvette can fulfill any role it is placed into, but not with the same effectiveness of its more specialized counterparts.
",,,
