name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Coupsur,PulseIndustry_coupsur,,Pulse Industry,,,250,70,750,,100,0,,160,300,250,90,180,40,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3991
Lassitude,PulseIndustry_lassitude,,Pulse Industry,,,100,50,500,,90,0,,160,300,250,90,180,30,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3992
Pulsar,PulseIndustry_pulsar,,Pulse Industry,PulseIndustry_recalldevice,,800,120,400,,80,,,400,600,600,250,600,40,OMNI,,45,0,0.7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teco,PulseIndustry_teco,,Pulse Industry,,,1750,175,300,,100,0,,135,125,110,95,175,60,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuo,PulseIndustry_cuo,Shuttle,Pulse Industry,PulseIndustry_emp,3,900,150,1600,1700,100,20,,135,100,100,55,85,90,FRONT,,180,0.5,0.7,,,1,10,30,15,0.5,10,12,6000,10,15,180,0.25,3,2,,,,,,,,"PulseIndustry_pulse_bp,hightech_bp",,0.75,2,2,,3997
Malice,PulseIndustry_malice,Frigate,Pulse Industry,PulseIndustry_emppt,4,1200,200,2500,2750,180,31,,120,90,90,45,90,100,FRONT,,210,0.3,0.7,,,3,20,50,20,1,20,11,12000,10,15,240,0.25,5,4,,,,,,,,"PulseIndustry_pulse_bp,hightech_bp",,0.5,2,3,,3998
Bignouf,PulseIndustry_bignouf,Heavy Frigate,Pulse Industry,highenergyfocus,5,1650,250,2500,2900,170,45,,105,80,80,60,90,200,FRONT,,240,0.4,0.7,,,5,20,45,25,1,25,10,13000,8,10,240,0.25,6,6,,,,,,,,"PulseIndustry_pulse_bp,hightech_bp",,0.4,2,2,,3999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athenia,PulseIndustry_athenia,Light Carrier,Pulse Industry,PulseIndustry_emp,9,3000,250,4500,4966,250,50,2,80,60,50,35,15,400,FRONT,,260,0.4,0.7,,,8,60,80,40,2,15,10,27000,5,15,360,0.25,12,8,,,,,,,"CARRIER, COMBAT",PulseIndustry_pulse_bp,,0.5,2,3,,4004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lodium,PulseIndustry_lodium,Fast Cruiser,Pulse Industry,plasmajets,20,6000,500,12000,16500,850,126,1,70,50,40,25,25,2100,OMNI,,180,0.5,0.7,,,20,90,190,120,3,35,9,180000,4,15,640,0.25,28,26,,,,,,,"CARRIER, COMBAT,SHIP_WITH_MODULES",PulseIndustry_pulse_bp,,0.6,2,3,,4011
Seeker Pulse ,PulseIndustry_seekerpulse,,,PulseIndustry_al,1,2500,400,3000,5000,400,0,,0,0,0,0,0,120,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,10,10,,4016
Minster,PulseIndustry_minster,Hubship,Pulse Industry,PulseIndustry_empfocus,40,50000,1250,40000,20000,1000,360,5,15,2,1,2,1,8000,OMNI,,360,0.6,0.6,,,200,3500,2500,2000,20,100,6,2140000,2,6,720,0.15,75,75,,,,,,,SHIP_WITH_MODULES,"PulseIndustry_special,rare_bp",0.1,0.5,4,8,,4018
,PulseIndustry_module_shield,Shield Module,Pulse Industry,,1,5500,750,5000,3000,300,0,,0,0,0,3,6,200,FRONT,,105,1,0.6,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,4019
