id,type,text1,text2,text3,notes
,,,,,
PulseIndustry_cuo,SHIP,"Cuo is almost entirely automated frigate, made on the very cusp of the anti-AI laws that prohibit such ship's existence. The Pulse Industry Corporation designed the vessel's subsystems to be entirely automated, with human interface being restricted to only just a few of ship's systems. Only one person is required to operate Cuo, only because Pulse Industry Corporation wants to avoid being persecuted for making another ship entirely controlled by AI, which could lead to another war.

Exposed reactor core on Cuo gives it excellent flux dissipation, but unfortunately prevents active venting from occurring.
Exposing the reactor core allowed for EMP Emitter to be installed, which works by overcharging the exposed part of reactor, characteristic which was discovered by accident during the ship's testing.",,,
PulseIndustry_bignouf,SHIP,"Bigouf is almost entirely automated frigate, made on the very cusp of the anti-AI laws that prohibit such ship's existence. The Pulse Industry Corporation designed the vessel's subsystems to be entirely automated, with human interface being restricted to only just a few of ship's systems.
Only five people are required to efficiently use the Bigouf, which prevents sector powers such as Hegemony from investigating the ship's continued existence.

Exposed reactor core on Bigouf gives it excellent flux dissipation, but unfortunately prevents active venting from occurring.
Unlike Cuo, Bigouf lacks the EMP Emitter. Bigouf's reactor produces more power than it would ever need.
Resulting overproduction is stored in capacitors spread across the hull and can be used during combat to overcharge Bigouf's energy weapons, allowing it to deal damage to foes it couldn't otherwise.",,,
PulseIndustry_malice,SHIP,"Malice is almost entirely automated frigate, made on the very cusp of the anti-AI laws that prohibit such ship's existence. The Pulse Industry Corporation designed the vessel's subsystems to be entirely automated, with human interface being restricted to only just a few of ship's systems.
Only three people are required to efficiently use the Malice, which prevents sector powers such as Hegemony from openly investigating the Malice's continued existence.
Exposed reactor core on Malice gives it excellent flux dissipation, but unfortunately prevents active venting from occurring.
Malice's development was riddled with multiple problems and very long development which caused multiple different project leads to lead the project, only to step down not soon after, which caused Malice to be a mess of different ideas.
Its signature system combines phase teleporter with EMP emitter, allowing Malice to teleport and then emit EMP arcs.
This unfortunately leads to Malice having little in way of firepower, which relegates Malice to escort duties in trade convoys, but it excels at its job.",,,
PulseIndustry_lodium,SHIP,"The Lodium is an almost entirely automated capital ship, made on the very cusp of the anti-AI laws that would otherwise prohibit such a ship's existence. The Pulse Industry Corporation designed the vessel's subsystems to be wholly automatic, and human interface is restricted to just a handful of the ship's functions.
Only one or two crew are required to operate the vessel, but operate it they must in order to avoid the ship counting as an illegal, artificially intelligent weapon of war.

The exposed reactor core installed on the ship gives it excellent flux dissipation, but lacks a active ventilation system.
The Loduim have scientifics roots and it is directly the Tri-Tachyon modifications of the Farfadet.

While sporting a lightweight basic weapons package, this Tri-Tachyon modification is a highly capable warship, despite its scientific roots.
Its deep flux reserves, high mobility and modified ""Seeker Pulse"" energy core ability lets it stand toe to toe with contemporary cruisers and earn it a ""light capital"" designation. ",,,
PulseIndustry_athenia,SHIP,"Athenia is almost entirely automated destroyer, made on the very cusp of the anti-AI laws that prohibit such ship's existence. The Pulse Industry Corporation designed the vessel's subsystems to be entirely automated, with human interface being restricted to only just a few of ship's systems.
Only eight people are required to efficiently use the Athenia, which prevents sector powers such as Hegemony from openly investigating the Athenia's continued existence.

Exposed reactor core on Athenia gives it excellent flux dissipation, but unfortunately prevents active venting from occurring.
Athenia is a carrier first and foremost, it lacks weapon mounts, which means it's almost defenceless against enemy attacks, unless it uses the EMP Emitter built on top of its reactor.
Athenia can also provide a respectable amount of fighters onto the battlefield.
Exposing reactor core and hollowed out hull for fighters reduced Athenia's structural integrity, meaning it's not as useful in highly dangerous duties.
Its apperance in Tri-Tachyon Corporation trade convoys made lives of pirates way more dangerous, because Athenia was made for escorting trade convoys.
Here ya go, only these so far, because I only had so much creativity in me.",,,
,,,,,
,,,,,
PulseIndustry_coupsur,SHIP,"Heavily shielded and armed with a graviton beam, the Coupsur is a brother of the Xyphos. Its reliance on targeting and navigation feeds from larger ships mean it's incapable of operating independently, though it is able to support ships other than its parent carrier.",,,
PulseIndustry_lassitude,SHIP,"Support fighter with a shield generator, the Lassitude's job is to neutralize fighter who enter on their range but also against shieldless ship. Most effective against phase ship. Its reliance on targeting and navigation feeds from larger ships mean it's incapable of operating independently, though it is able to support ships other than its parent carrier.",,,
